Date,Centre_Name,Commodity_Name,Price,Month
2009-01-14,CHENNAI,Brinjal,24.0,2009-01
2009-01-15,BENGALURU,Brinjal,14.0,2009-01
2009-01-15,T.PURAM,Brinjal,35.0,2009-01
2009-01-15,CHENNAI,Brinjal,24.0,2009-01
2009-01-16,BENGALURU,Brinjal,14.0,2009-01
2009-01-16,T.PURAM,Brinjal,35.0,2009-01
2009-01-16,CHENNAI,Brinjal,24.0,2009-01
2009-01-19,BENGALURU,Brinjal,14.0,2009-01
2009-01-19,T.PURAM,Brinjal,35.0,2009-01
2009-01-19,CHENNAI,Brinjal,24.0,2009-01
2009-01-20,BENGALURU,Brinjal,14.0,2009-01
2009-01-20,T.PURAM,Brinjal,35.0,2009-01
2009-01-20,CHENNAI,Brinjal,24.0,2009-01
2009-01-21,BENGALURU,Brinjal,14.0,2009-01
2009-01-21,T.PURAM,Brinjal,35.0,2009-01
2009-01-21,CHENNAI,Brinjal,24.0,2009-01
2009-01-22,BENGALURU,Brinjal,14.0,2009-01
2009-01-22,T.PURAM,Brinjal,35.0,2009-01
2009-01-22,CHENNAI,Brinjal,24.0,2009-01
2009-01-23,BENGALURU,Brinjal,14.0,2009-01
2009-01-23,T.PURAM,Brinjal,35.0,2009-01
2009-01-23,CHENNAI,Brinjal,24.0,2009-01
2009-01-27,BENGALURU,Brinjal,14.0,2009-01
2009-01-27,T.PURAM,Brinjal,35.0,2009-01
2009-01-27,CHENNAI,Brinjal,24.0,2009-01
2009-01-28,BENGALURU,Brinjal,14.0,2009-01
2009-01-28,T.PURAM,Brinjal,35.0,2009-01
2009-01-28,CHENNAI,Brinjal,24.0,2009-01
2009-01-29,BENGALURU,Brinjal,14.0,2009-01
2009-01-29,T.PURAM,Brinjal,35.0,2009-01
2009-01-29,CHENNAI,Brinjal,24.0,2009-01
2009-01-30,BENGALURU,Brinjal,14.0,2009-01
2009-01-30,T.PURAM,Brinjal,35.0,2009-01
2009-01-30,CHENNAI,Brinjal,24.0,2009-01
2009-02-02,BENGALURU,Brinjal,14.0,2009-02
2009-02-02,T.PURAM,Brinjal,35.0,2009-02
2009-02-02,CHENNAI,Brinjal,24.0,2009-02
2009-03-02,BENGALURU,Brinjal,14.0,2009-03
2009-03-02,T.PURAM,Brinjal,35.0,2009-03
2009-03-02,CHENNAI,Brinjal,24.0,2009-03
2009-04-02,BENGALURU,Brinjal,14.0,2009-04
2009-04-02,T.PURAM,Brinjal,35.0,2009-04
2009-04-02,CHENNAI,Brinjal,24.0,2009-04
2009-05-02,BENGALURU,Brinjal,14.0,2009-05
2009-05-02,T.PURAM,Brinjal,35.0,2009-05
2009-05-02,CHENNAI,Brinjal,24.0,2009-05
2009-06-02,BENGALURU,Brinjal,14.0,2009-06
2009-06-02,T.PURAM,Brinjal,35.0,2009-06
2009-06-02,CHENNAI,Brinjal,24.0,2009-06
2009-09-02,BENGALURU,Brinjal,14.0,2009-09
2009-09-02,T.PURAM,Brinjal,35.0,2009-09
2009-09-02,CHENNAI,Brinjal,24.0,2009-09
2009-10-02,BENGALURU,Brinjal,14.0,2009-10
2009-10-02,T.PURAM,Brinjal,35.0,2009-10
2009-10-02,CHENNAI,Brinjal,24.0,2009-10
2009-11-02,BENGALURU,Brinjal,14.0,2009-11
2009-11-02,T.PURAM,Brinjal,35.0,2009-11
2009-11-02,CHENNAI,Brinjal,24.0,2009-11
2009-12-02,BENGALURU,Brinjal,14.0,2009-12
2009-12-02,T.PURAM,Brinjal,35.0,2009-12
2009-12-02,CHENNAI,Brinjal,24.0,2009-12
2009-02-13,BENGALURU,Brinjal,14.0,2009-02
2009-02-13,T.PURAM,Brinjal,35.0,2009-02
2009-02-13,CHENNAI,Brinjal,24.0,2009-02
2009-02-16,BENGALURU,Brinjal,14.0,2009-02
2009-02-16,T.PURAM,Brinjal,35.0,2009-02
2009-02-16,CHENNAI,Brinjal,24.0,2009-02
2009-02-17,BENGALURU,Brinjal,14.0,2009-02
2009-02-17,T.PURAM,Brinjal,35.0,2009-02
2009-02-17,CHENNAI,Brinjal,24.0,2009-02
2009-02-18,BENGALURU,Brinjal,14.0,2009-02
2009-02-18,T.PURAM,Brinjal,35.0,2009-02
2009-02-18,CHENNAI,Brinjal,24.0,2009-02
2009-02-19,BENGALURU,Brinjal,14.0,2009-02
2009-02-19,T.PURAM,Brinjal,35.0,2009-02
2009-02-19,CHENNAI,Brinjal,24.0,2009-02
2009-02-20,BENGALURU,Brinjal,14.0,2009-02
2009-02-20,T.PURAM,Brinjal,35.0,2009-02
2009-02-20,CHENNAI,Brinjal,24.0,2009-02
2009-02-23,BENGALURU,Brinjal,14.0,2009-02
2009-02-23,T.PURAM,Brinjal,35.0,2009-02
2009-02-23,CHENNAI,Brinjal,24.0,2009-02
2009-02-24,BENGALURU,Brinjal,14.0,2009-02
2009-02-24,T.PURAM,Brinjal,35.0,2009-02
2009-02-24,CHENNAI,Brinjal,24.0,2009-02
2009-02-25,BENGALURU,Brinjal,14.0,2009-02
2009-02-25,T.PURAM,Brinjal,35.0,2009-02
2009-02-25,CHENNAI,Brinjal,24.0,2009-02
2009-02-26,BENGALURU,Brinjal,14.0,2009-02
2009-02-26,T.PURAM,Brinjal,35.0,2009-02
2009-02-26,CHENNAI,Brinjal,24.0,2009-02
2009-02-27,BENGALURU,Brinjal,14.0,2009-02
2009-02-27,T.PURAM,Brinjal,35.0,2009-02
2009-02-27,CHENNAI,Brinjal,24.0,2009-02
2009-02-03,BENGALURU,Brinjal,14.0,2009-02
2009-02-03,T.PURAM,Brinjal,35.0,2009-02
2009-02-03,CHENNAI,Brinjal,24.0,2009-02
2009-03-03,BENGALURU,Brinjal,14.0,2009-03
2009-03-03,T.PURAM,Brinjal,35.0,2009-03
2009-03-03,CHENNAI,Brinjal,24.0,2009-03
2009-04-03,BENGALURU,Brinjal,14.0,2009-04
2009-04-03,T.PURAM,Brinjal,35.0,2009-04
2009-04-03,CHENNAI,Brinjal,24.0,2009-04
2009-05-03,BENGALURU,Brinjal,14.0,2009-05
2009-05-03,T.PURAM,Brinjal,35.0,2009-05
2009-05-03,CHENNAI,Brinjal,24.0,2009-05
2009-06-03,BENGALURU,Brinjal,14.0,2009-06
2009-06-03,T.PURAM,Brinjal,35.0,2009-06
2009-06-03,CHENNAI,Brinjal,24.0,2009-06
2009-09-03,BENGALURU,Brinjal,14.0,2009-09
2009-09-03,T.PURAM,Brinjal,35.0,2009-09
2009-09-03,CHENNAI,Brinjal,24.0,2009-09
2009-12-03,BENGALURU,Brinjal,14.0,2009-12
2009-12-03,T.PURAM,Brinjal,8.0,2009-12
2009-12-03,CHENNAI,Brinjal,24.0,2009-12
2009-03-13,BENGALURU,Brinjal,14.0,2009-03
2009-03-13,T.PURAM,Brinjal,8.0,2009-03
2009-03-13,CHENNAI,Brinjal,24.0,2009-03
2009-03-16,BENGALURU,Brinjal,14.0,2009-03
2009-03-16,T.PURAM,Brinjal,8.0,2009-03
2009-03-16,CHENNAI,Brinjal,24.0,2009-03
2009-03-17,BENGALURU,Brinjal,14.0,2009-03
2009-03-17,T.PURAM,Brinjal,8.0,2009-03
2009-03-17,CHENNAI,Brinjal,24.0,2009-03
